,country_name,investments_since_2006_USmd
0,argentina,1278.5271
1,bahamas,0.0
2,bangladesh,26.02726
3,barbados,0.0
4,belize,0.0
5,bolivia,111.00076
6,botswana,0.0
7,brazil,61441.04626
8,cameroon,102.15529
9,chile,10453.3144
10,china,362997.51985
11,colombia,404.25471
12,costa-rica,1454.06717
13,cote-ivoire,50.00455
14,dr-congo,0.0
15,dominican-republic,574.78239
16,ecuador,346.41169
17,egypt,333.05414
18,el-salvador,313.93814
19,ethiopia,1442.33335
20,ghana,58.9343
21,guatemala,1108.80917
22,guyana,0.0
23,haiti,0.0
24,honduras,1722.86561
25,india,48361.02115
26,indonesia,4446.1953
27,jamaica,208.29772
28,jordan,1334.53978
29,kenya,2883.61323
30,lebanon,0.0
31,liberia,97.71801
32,malawi,0.0
33,mexico,12358.01879
34,mozambique,2.08943
35,myanmar,64.00582
36,nepal,61.92557
37,nicaragua,856.47748
38,nigeria,317.69747
39,pakistan,1814.86187
40,panama,1416.09318
41,paraguay,28.20864
42,peru,3603.70118
43,rwanda,157.19207
44,senegal,58.53273
45,sierra-leone,381.35739
46,south-africa,16065.39544
47,sri-lanka,902.13059
48,suriname,13.00091
49,tajikistan,0.0
50,tanzania,189.91622
51,trinidad-and-tobago,0.0
52,uganda,274.95617
53,uruguay,4690.14777
54,venezuela,119.728
55,vietnam,1436.59688
56,zambia,53.66667
57,zimbabwe,323.68031
