Country.Name,units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Electricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1,1,1,1,0.8,0.7,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.7,0.7,1,0.9,0.97362,1.21041,1.48878,1.4290493,2.027433,2.442573,3.033803,3.89312,4.56546,4.68557
Generation,Billion Kwh,0.9,1,1,1,1,1,1.1,1.2,1.1,1.1,1.1,1,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.9,0.9,0.934,0.837,0.946,0.72801,0.9381,0.9361,0.8471,0.884,1.022,1.049
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.59,0.637,0.748,0.54201,0.7761,0.7511,0.5951,0.71,0.804,0.895
Hydroelectricity,Billion Kwh,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.59,0.637,0.748,0.542,0.776,0.751,0.595,0.71,0.804,0.895
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-05,0.0001,0.0001,0.0001,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-05,0.0001,0.0001,0.0001,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.094,0.1,0.3,0.3,0.344,0.2,0.198,0.186,0.162,0.185,0.252,0.174,0.218,0.154
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
