title,Country.Name,year,status,type,target
General Electricity Act 2014,Angola,2015,In Force,"Regulatory Instruments, Regulatory Instruments>Auditing","Multiple RE Sources, Multiple RE Sources>All"
Egypt Renewable Energy Law (Decree No 203/2014),Egypt,2015,In Force,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments, Economic Instruments>Market-based instruments","Multiple RE Sources>Power, Solar>Solar photovoltaic, Wind"
Egypt renewable energy tax incentives (Presidential Decree No 17/2015),Egypt,2015,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Multiple RE Sources>All
Renewable Energy Fund for off-grid solutions,Botswana,2015,In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives","Solar, Solar>Solar photovoltaic, Multiple RE Sources, Multiple RE Sources>Power"
Egypt Renewable Energy Tenders (build-own-operate BOO contracts),Egypt,2015,In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments","Solar, Solar Thermal, Solar>Solar photovoltaic, Solar Thermal>Solar thermal electricity (STE), Wind"
Loans from the National Fund for Environmental Protection and Water Management,Poland,2015,In Force,Economic Instruments>Fiscal/financial incentives>Loans,"Wind, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal, Hydropower, Solar"
Clean Energy Finance Corporation (CEFC),Australia,2015,In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment, Regulatory Instruments>Codes and standards",Multiple RE Sources
National Wind Farm Commissioner and Independent Scientific Committee on Wind Turbines,Australia,2015,In Force,Regulatory Instruments>Codes and standards,Wind
Renew300 Federal Renewable Energy Target,United States,2015,In Force,"Policy Support, Voluntary Approaches>Public Voluntary Schemes",Solar
Decentralized Rural Electrification Strategy (2015-2017),Burundi,2015,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
Tax incentives for renewable energy,Madagascar,2015,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Solar, Hydropower, Wind"
Panama National Energy Plan 2015–2050,Panama,2015,In Force,Policy Support>Strategic planning,Multiple RE Sources>Power
Zambia Scaling Solar Programme,Zambia,2015,In Force,"Economic Instruments>Market-based instruments, Regulatory Instruments",Solar>Solar photovoltaic
Maharashtra Renewable Energy Policy 2015,India,2015,In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Tax relief",Multiple RE Sources>Power
Maharashtra Comprehensive Policy for Grid-connected Power Projects based on New and Renewable (Nonconventional) Energy Sources - 2015,India,2015,In Force,Policy Support>Strategic planning,Multiple RE Sources>Power
Tax incentives for renewable energy,Kenya,2015,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Solar, Hydropower, Wind, Solar Thermal>Solar heat"
National Renewable Energy Law 2015 - DRAFT,India,2015,Planned,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
Lesotho Energy Policy 2015-2025,Lesotho,2015,In Force,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Solar
Net Metering Code,Ghana,2015,Planned,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>User charges","Multiple RE Sources>Power, Multiple RE Sources"
National Renewable Energy Strategy,Angola,2015,In Force,"Policy Support, Policy Support>Strategic planning, Information and Education",Multiple RE Sources
Feed-in-Tariffs for Biomass and Municipal Waste (Ministerial Regulation No. 27/2014 and No. 44/2015),Indonesia,2014 and 2015,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Bioenergy>Biomass for power
Research and Development Funding Programmes,New Zealand,2014 (Sept),In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
Net metering (Regulation on Distributed Generation) 2014,Chile,2014 (Sept 6th),In Force,Regulatory Instruments,Multiple RE Sources
Notice regulating the standardization of the wind power equipment and generators quality,China,2014 (Sept 5th),In Force,"Regulatory Instruments>Codes and standards>Product standards, Regulatory Instruments>Codes and standards>Sectoral standards, Regulatory Instruments>Codes and standards",Wind
Notice on further promotion of the distributes solar PV systems,China,2014 (Sept 2nd),In Force,Policy Support>Strategic planning,"Solar, Solar>Solar photovoltaic"
Feed-in tariff for wind and solar PV projects,Egypt,2014 (Sept 20th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Solar, Solar>Solar photovoltaic, Wind"
Renewable energy custom tax reduction for renewable equipment,Egypt,2014 (Sept 20th),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources>All, Multiple RE Sources"
Contract for Difference (CfD),United Kingdom,2014 (October),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Solar, Wind, Wind>Offshore, Wind>Onshore, Ocean, Ocean>Tidal, Ocean>Wave, Multiple RE Sources>CHP, Bioenergy>Biomass for power, Geothermal, Hydropower"
2030 Climate and Energy Framework,European Commission,2014 (October 24th),In Force,Policy Support>Strategic planning,Multiple RE Sources>All
Notice on promotion of solar PV deployment and on improvement of their operation management,China,2014 (Oct 9th),In Force,"Regulatory Instruments>Codes and standards, Information and Education>Advice/Aid in Implementation",Solar>Solar photovoltaic
Wind Turbine Component Tax Exemption (Executive Decree 656),Brazil,2014 (Oct 7th),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Wind
Decision on support mechanisms for the development of biomass power project in Vietnam (biomass feed-in tariff),Vietnam,2014 (Oct 5th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Bioenergy>Biomass for power
Notice regulating the standardization of investment and development of PV plants,China,2014 (Oct 28th),In Force,"Regulatory Instruments>Codes and standards>Product standards, Regulatory Instruments>Codes and standards>Sectoral standards",Solar>Solar photovoltaic
Law on Self-consumption Decree-Law No. 153/2014,Portugal,2014 (Oct 20th),In Force,Economic Instruments>Fiscal/financial incentives,"Multiple RE Sources, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Ukraine,2014 (Oct 1st),In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Tax relief","Multiple RE Sources, Multiple RE Sources>All"
Poverty alleviation project by installation of solar PV panels in poor households,China,2014 (Oct 11th),In Force,Economic Instruments>Fiscal/financial incentives,"Solar>Solar photovoltaic>Residential, Solar>Solar photovoltaic>Commercial"
Notice promoting the construction of distributed solar PV demonstration projects,China,2014 (Nov 21st),In Force,"Research, Development and Deployment (RD&D)>Demonstration project, Policy Support",Solar>Solar photovoltaic
National Development Plan 2015-2018,Costa Rica,2014 (Nov 17th),In Force,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources>All
"Royal Decree 413/2014 on electricity generation by means of renewable, cogeneration and waste facilities",Spain,2014 (May 10th),In Force,"Policy Support>Strategic planning, Regulatory Instruments",Multiple RE Sources>Power
Abu Dhabi - The Electricity Wiring Regulations (Third Edition),United Arab Emirates,2014 (March),In Force,Regulatory Instruments>Codes and standards,Solar>Solar photovoltaic
QUALIWATT - Wallonia,Belgium,2014 (March 1st),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
"Regulation on Net-Metering (Technical standard for Planning, Operation and Access to National Grid)",Costa Rica,2014 (Mar 31st),In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources
Notice of the State Development and Reform Commission on offshore wind power electricity price policy,China,2014 (June 5th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Wind>Offshore
Notice on issues concerning State Grid Corporation of China to buy distributed PV power generation projects' electricity products invoice etc.,China,2014 (June 3th),In Force,Economic Instruments>Fiscal/financial incentives>Taxes,Solar
Decree on the Cut of Incentives for Photovoltaic Plants (Spalma Incentivi),Italy,2014 (June 25th),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives",Solar>Solar photovoltaic
Notice on planning the exploitation and utilization of geothermal energy for power and heating,China,2014 (June 25th),In Force,Policy Support>Strategic planning,Geothermal
Decision on support mechanisms for the development of waste-to-energy power projects in Vietnam (feed-in tariff),Vietnam,2014 (June 20th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels"
Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (4th quarter of 2014),Lithuania,2014 (July 28th),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Solar, Wind>Onshore, Bioenergy, Bioenergy>Biomass for power, Hydropower"
Accelerated depreciation tax benefit,India,2014 (July 10th),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Wind
Access Energy Found (pilot),Chile,2014 (Jan 1st),In Force,"Economic Instruments>Direct investment>Infrastructure investments, Information and Education>Advice/Aid in Implementation, Research, Development and Deployment (RD&D)>Demonstration project",Multiple RE Sources>All
Feed-in tariffs for micro and mini generation for 2014,Portugal,2014 (Jan 1st),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Royal Decree Law 24/2013 on the Electricity Sector,Spain,2014 (Jan 1st),In Force,"Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Fiscal/financial incentives","Multiple RE Sources, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Biomethane subsidies,Italy,2014 (Jan 1st),In Force,"Economic Instruments>Market-based instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Bioenergy>Biomass for heat, Bioenergy>Biomass for power"
NEA Notice on new solar PV capacity to be added in 2014,China,2014 (Jan 17),In Force,Policy Support>Strategic planning,Solar>Solar photovoltaic
Notice of VAT policy of large-scale hydropower enterprise,China,2014 (Feb 12th),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Hydropower
Act No. 309/2009 on Support of Renewable Energy Sources and High Efficiency CHP,Slovakia,2014 (December 1),In Force,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Regulatory Instruments>Obligation schemes","Multiple RE Sources>Power, Bioenergy, Bioenergy>Biomass for power, Multiple RE Sources>CHP"
Notice on strengthening management of biomass power stations,China,2014 (Dec 9th),In Force,Regulatory Instruments,Bioenergy
China offshore wind power development plan (2014-2016),China,2014 (Dec 8th),In Force,Policy Support>Strategic planning,Wind>Offshore
Notice on grid connection for solar PV projects in 2014,China,2014 (Dec 16th),In Force,Regulatory Instruments,Solar>Solar photovoltaic
Feed-in Tariff for Very Small Power Producers (VSPP) (excluding solar PV),Thailand,2014 (Dec 15th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Hydropower, Bioenergy"
Distributed generation,Italy,2014 (August 21st),In Force,Economic Instruments>Fiscal/financial incentives>User charges,Multiple RE Sources
2014 Amendment of the Renewable Energy Sources Act (EEG 2014),Germany,2014 (August 1st),In Force,"Policy Support>Strategic planning, Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes",Multiple RE Sources
Feed-in tariffs for renewable energy and cogeneration (Règlement du 1er août 2014),Luxembourg,2014 (August 1st),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources>Power
Mexican Petroleum Law,Mexico,2014 (August 11th),In Force,"Economic Instruments>Direct investment, Research, Development and Deployment (RD&D)",Multiple RE Sources>All
Geothermal Law,Mexico,2014 (Aug 11th),In Force,Regulatory Instruments>Codes and standards,Geothermal
Electricity Industry Law (RES grid integration),Mexico,2014 (Aug 11th),In Force,"Regulatory Instruments>Codes and standards, Economic Instruments, Policy Support>Strategic planning, Regulatory Instruments","Multiple RE Sources>All, Multiple RE Sources>Power"
Strategic Energy Plan (2014),Japan,2014 (April),In Force,Policy Support>Strategic planning,Multiple RE Sources>All
Electricity Generation Expansion Plan 2014-2035 (Plan de Expansion de la Generacion Electrica),Costa Rica,2014 (April),In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Bioenergy, Geothermal, Wind, Solar, Hydropower"
